"c" "over_count" "over_ratio" "nweeks_reporting"
"219" "89fda0284e008d2e0c980fb13f9859d8" "2" "0.0116279069767442" "172"
"220" "89fda0284e008d2e0c980fb13f97710a" "5" "0.0467289719626168" "107"
"221" "89fda0284e008d2e0c980fb13f96de63" "2" "0.00579710144927536" "345"
"222" "fb6e0b19cbe3ef683a10c4c47669d0ce" "0" "0" "292"
"223" "fb6e0b19cbe3ef683a10c4c47669bc70" "0" "0" "120"
"224" "89fda0284e008d2e0c980fb13f959c0a" "6" "0.0260869565217391" "230"
"225" "89fda0284e008d2e0c980fb13f9a06a3" "1" "0.00833333333333333" "120"
"226" "89fda0284e008d2e0c980fb13f9a1c42" "2" "0.00884955752212389" "226"
"227" "89fda0284e008d2e0c980fb13f9a052b" "0" "0" "60"
"228" "89fda0284e008d2e0c980fb13f98fd43" "3" "0.0297029702970297" "101"
